X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
13744,100,300,9,0.240384615,0,0.800346208
13744,120,300,9,0.288461538,0,0.815709185
13744,140,300,9,0.336538462,0,0.831980959
13744,160,300,9,0.384615385,0,0.846305312
13744,180,300,9,0.432692308,0,0.852969815
13744,200,300,9,0.480769231,0,0.874824191
13744,210,300,9,0.504807692,0,0.885123878
13744,220,300,9,0.528846154,0,0.885123878
13744,240,300,9,0.576923077,0,0.905636698
13744,260,300,9,0.625,0,0.912214649
13744,280,300,9,0.673076923,0,0.925889863
13744,300,300,9,0.721153846,0,0.934631613
13744,320,300,9,0.769230769,0,0.951249594
13744,340,300,9,0.817307692,0,0.959991345
13744,360,300,9,0.865384615,0,0.967434816
13744,380,300,9,0.913461538,0,0.972108623
13744,400,300,9,0.961538462,0,0.972671211
13744,420,300,9,1.009615385,0,0.984528833
13744,440,300,9,1.057692308,0,0.991842475
13744,460,300,9,1.105769231,0,0.999632154
13744,480,300,9,1.153846154,0,0.993703343
13744,500,300,9,1.201923077,0,0.99707887
13744,520,300,9,1.25,0,0.994309207
13744,540,300,9,1.298076923,0,0.989375744
14160,-540,300,10,-1.298076923,0,0.999135195
14160,-540,300,10,-1.298076923,0,1.002222254
14160,-520,300,10,-1.25,0,1.005094933
14160,-500,300,10,-1.201923077,0,1.000421469
14160,-480,300,10,-1.153846154,0,0.993389835
14160,-480,300,10,-1.153846154,0,0.994333103
14160,-460,300,10,-1.105769231,0,0.984085783
14160,-440,300,10,-1.057692308,0,0.988716371
14160,-420,300,10,-1.009615385,0,0.979583822
14160,-420,300,10,-1.009615385,0,0.978511926
14160,-400,300,10,-0.961538462,0,0.972723691
14160,-380,300,10,-0.913461538,0,0.974052841
14160,-360,300,10,-0.865384615,0,0.960675586
14160,-360,300,10,-0.865384615,0,0.958231664
14160,-340,300,10,-0.817307692,0,0.947598461
14160,-320,300,10,-0.769230769,0,0.935464605
14160,-300,300,10,-0.721153846,0,0.922944866
14160,-300,300,10,-0.721153846,0,0.92813284
14160,-280,300,10,-0.673076923,0,0.914112447
14160,-260,300,10,-0.625,0,0.897733884
14160,-240,300,10,-0.576923077,0,0.888429832
14160,-240,300,10,-0.576923077,0,0.878568394
14160,-220,300,10,-0.528846154,0,0.877282119
14160,-200,300,10,-0.480769231,0,0.859745909
14160,-180,300,10,-0.432692308,0,0.846282902
14160,-180,300,10,-0.432692308,0,0.843967608
14160,-160,300,10,-0.384615385,0,0.837922118
14160,-140,300,10,-0.336538462,0,0.828746693
14160,-120,300,10,-0.288461538,0,0.812153751
14160,-120,300,10,-0.288461538,0,0.811982248
14160,-100,300,10,-0.240384615,0,0.808466431
14160,-80,300,10,-0.192307692,0,0.799119502
14160,-60,300,10,-0.144230769,0,0.795560809
14160,-60,300,10,-0.144230769,0,0.785141985
14160,-40,300,10,-0.096153846,0,0.792688129
14160,-20,300,10,-0.048076923,0,0.794060156
14160,0,300,10,0,0,0.790458587
14160,20,300,10,0.048076923,0,0.791959241
14160,40,300,10,0.096153846,0,0.799719764
14160,60,300,10,0.144230769,0,0.804607607
14160,60,300,10,0.144230769,0,0.804135973
14160,80,300,10,0.192307692,0,0.805036365
14160,100,300,10,0.240384615,0,0.817727607
14160,120,300,10,0.288461538,0,0.829346954
14160,120,300,10,0.288461538,0,0.838136497
14160,140,300,10,0.336538462,0,0.844696497
14160,160,300,10,0.384615385,0,0.859402903
14160,180,300,10,0.432692308,0,0.862747217
14160,180,300,10,0.432692308,0,0.871708263
14160,200,300,10,0.480769231,0,0.877367871
14160,220,300,10,0.528846154,0,0.892674538
14160,240,300,10,0.576923077,0,0.898076891
14160,240,300,10,0.576923077,0,0.910339375
14160,260,300,10,0.625,0,0.909910617
14160,280,300,10,0.673076923,0,0.922558983
14160,300,300,10,0.721153846,0,0.937179637
14160,300,300,10,0.721153846,0,0.945711925
14160,320,300,10,0.769230769,0,0.946183559
14160,340,300,10,0.817307692,0,0.956688135
14160,360,300,10,0.865384615,0,0.961790357
14160,360,300,10,0.865384615,0,0.967878723
14160,380,300,10,0.913461538,0,0.965263298
14160,400,300,10,0.961538462,0,0.967921599
14160,420,300,10,1.009615385,0,0.977568658
14160,420,300,10,1.009615385,0,0.979326567
14160,440,300,10,1.057692308,0,0.975210488
14160,460,300,10,1.105769231,0,0.984857547
14160,480,300,10,1.153846154,0,0.987858855
14160,480,300,10,1.153846154,0,0.988244737
14160,500,300,10,1.201923077,0,0.993561338
14160,520,300,10,1.25,0,0.985800815
14160,540,300,10,1.298076923,0,0.989488136
14160,540,300,10,1.298076923,0,0.995447874
